PolicyType.Waypoint,91.5.0.4/30,frankfurt,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},brussels
PolicyType.Waypoint,91.5.0.4/30,frankfurt,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.Waypoint,91.5.0.4/30,frankfurt,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.Waypoint,91.5.0.4/30,zurich,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},brussels
PolicyType.Waypoint,91.5.0.4/30,zurich,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.Waypoint,91.5.0.4/30,zurich,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},madrid
PolicyType.Waypoint,91.5.0.4/30,zurich,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},paris
PolicyType.Waypoint,91.5.0.4/30,zurich,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.Waypoint,91.6.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},stockholm
PolicyType.Waypoint,91.6.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.Waypoint,91.6.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.Waypoint,91.6.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},stockholm
PolicyType.Waypoint,91.6.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.Waypoint,91.6.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.Waypoint,91.7.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},stockholm
PolicyType.Waypoint,91.7.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},vaduz
PolicyType.Waypoint,91.7.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},vaduz
PolicyType.Waypoint,91.7.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},stockholm
PolicyType.Waypoint,91.7.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},vaduz
PolicyType.Waypoint,91.7.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},vaduz
PolicyType.Waypoint,91.8.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},stockholm
PolicyType.Waypoint,91.8.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},vaduz
PolicyType.Waypoint,91.8.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},stockholm
PolicyType.Waypoint,91.8.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},vaduz
